coordenada,marginal_x,projecao_x,marginal_y,projecao_y
0.0,0.08551899502645433,0.08319312900379053,0.08551899502645438,0.0776227737774791
0.001,0.08659360913431904,0.08423851675743783,0.08659360913431904,0.07859816559267835
0.002,0.0876795346063455,0.08529490823929348,0.08767953460634553,0.07958382436039702
0.003,0.08877685865643475,0.086362388291296,0.08877685865643488,0.08057982924181924
0.004,0.089885668730857,0.08744104198143318,0.08988566873085706,0.0815862596090428
0.005,0.09100605250235978,0.08853095459801097,0.09100605250235985,0.08260319503973183
0.006,0.09213809786417601,0.08963221164382378,0.09213809786417601,0.08363071531167744
0.007,0.09328189292392731,0.09074489883022449,0.09328189292392744,0.08466890039726484
0.008,0.09443752599742679,0.09186910207109439,0.0944375259974268,0.08571783045784684
0.009000000000000001,0.09560508560237581,0.09300490747671328,0.09560508560237585,0.08677758583802464
0.01,0.09678466045196028,0.09415240134752807,0.09678466045196023,0.0878482470598335
0.011,0.09797633944834028,0.09531167016782102,0.09797633944834029,0.08892989481683498
0.012,0.09918021167603798,0.09648280059927618,0.09918021167603809,0.09002260996811416
0.013000000000000001,0.10039636639521952,0.09766587947444454,0.10039636639521948,0.09112647353218234
0.014,0.10162489303487186,0.09886099379010711,0.10162489303487184,0.09224156668078451
0.015,0.10286588118587658,0.100068230700536,0.10286588118587665,0.0933679707326116
0.016,0.10411942059397691,0.10128767751065307,0.104119420593977,0.09450576714691732
0.017,0.10538560115263954,0.10251942166908615,0.10538560115263951,0.09565503751703917
0.018000000000000002,0.10666451289581069,0.10376355076112223,0.10666451289581066,0.09681586356382361
0.019,0.10795624599056716,0.1050201525015578,0.10795624599056719,0.09798832712895496
0.02,0.10926089072966085,0.10628931472744642,0.10926089072966082,0.0991725101681887
0.021,0.11057853752395629,0.10757112539074223,0.11057853752395623,0.10036849474448754
0.022,0.11190927689476304,0.10886567255084052,0.11190927689476307,0.10157636302106131
0.023,0.11325319946606165,0.11017304436701496,0.11325319946606166,0.10279619725431074
0.024,0.11461039595662154,0.1114933290907505,0.11461039595662156,0.10402807978667368
0.025,0.11598095717201397,0.11282661505797292,0.11598095717201404,0.10527209303937485
0.026000000000000002,0.11736497399651775,0.11417299068117488,0.11736497399651767,0.1065283195050792
0.027,0.11876253738491685,0.11553254444143701,0.11876253738491671,0.10779684174044722
0.028,0.1201737383541934,0.1169053648803464,0.12017373835419336,0.10907774235859452
0.029,0.12159866797511247,0.11829154059181002,0.12159866797511251,0.1103711040214534
0.03,0.12303741736370008,0.11969116021376498,0.12303741736370008,0.11167700943203822
0.031,0.12449007767261434,0.12110431241978424,0.12449007767261427,0.11299554132661307
0.032,0.12595674008241,0.12253108591057892,0.12595674008241003,0.11432678246676316
0.033,0.12743749579269698,0.12397156940539651,0.12743749579269692,0.11567081563136891
0.034,0.12893243601319032,0.12542585163331538,0.12893243601319018,0.11702772360848335
0.035,0.13044165195465512,0.1268940213244352,0.13044165195465507,0.11839758918711248
0.036000000000000004,0.13196523481974531,0.12837616720096465,0.13196523481974515,0.11978049514889963
0.037,0.13350327579373367,0.12987237796820475,0.13350327579373356,0.12117652425971256
0.038,0.13505586603513922,0.13138274230542984,0.13505586603513922,0.122585759261135
0.039,0.13662309666624536,0.13290734885666422,0.13662309666624547,0.12400828286186094
0.04,0.13820505876351438,0.13444628622135704,0.13820505876351424,0.12544417772899374
0.041,0.139801843347894,0.13599964294495362,0.13980184334789403,0.12689352647924895
0.042,0.14141354137502224,0.13756750750936503,0.14141354137502246,0.12835641167006184
0.043000000000000003,0.1430402437253241,0.13914996832333448,0.1430402437253241,0.129832915790599
0.044,0.14468204119400294,0.14074711371270268,0.14468204119400302,0.13132312125267537
